"age","industry","title","context","salary","benefits","currency","currency.other","income_context","country","us_state","city","exp_total","exp_field","education","gender","race"
"35-44","accounting, banking and finance","ADMINISTRATIVE ASSISTANT","",41600,1600,NA,"","Additional bonus is approximate and depends on workload; I get a percentage of my financial advisor's quarterly compensation.","UNITED STATES","Minnesota","MINNEAPOLIS","11 - 20 years","1 year or less","College degree","Woman","White"
"45-54","engineering or manufacturing","IT MANAGER","",120000,8400,NA,"","Bonus up to 7%","UNITED STATES","Michigan","PLYMOUTH","21 - 30 years","21 - 30 years","College degree","Woman","White"
"25-34","engineering or manufacturing","CONTINUOUS IMPROVEMENT MANAGER","",102000,0,NA,"","","UNITED STATES","Indiana","FORTVILLE","5-7 years","5-7 years","College degree","Woman","White"
"45-54","business or consulting","EXECUTIVE SEARCH CONSULTANT","",175000,60000,NA,"","","CANADA",NA,"TORONTO","21 - 30 years","21 - 30 years","College degree","Woman","White"
"35-44","law","COUNSEL","",255000,5000,NA,"","","UNITED STATES","New York","NEW YORK CITY","11 - 20 years",NA,"Professional degree (MD, JD, etc.)","Woman","White"
"25-34","law","M&A MANAGER","I'm a trained lawyer (JD/Tax LLM); I work for a public accounting firm (outside the B4, but one of the bigger ones) in the M&A group",160000,6000,NA,"","","UNITED STATES","Illinois","CHICAGO","2 - 4 years","2 - 4 years","Professional degree (MD, JD, etc.)","Woman","White"
"55-64","health care","PROPOSAL MANAGER","Supporting sales efforts by managing the process of responding to requests for proposal (RFPs).",79880,2000,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","41 years or more","21 - 30 years","Master's degree","Woman","White"
"25-34","engineering or manufacturing","ENGINEER IN TRAINING (CIVIL)","",67080,NA,NA,"","","UNITED STATES","Iowa","DES MOINES","2 - 4 years","2 - 4 years","Master's degree","Woman","White"
"25-34","nonprofits","ASSISTANT EDITOR","",48000,NA,NA,"","","CANADA",NA,"OTTAWA","5-7 years","5-7 years","College degree","Non-binary","White"
"45-54","computing or tech","DESKTOP SUPPORG","",425000,NA,NA,"","","UNITED STATES","Nevada","RENO","5-7 years","2 - 4 years","College degree","Woman","White"
"35-44","nonprofits","BUDGET MANAGER","",104000,0,NA,"","","UNITED STATES","New York","NEW YORK CITY","11 - 20 years","1 year or less","Master's degree","Man","White"
"35-44","engineering or manufacturing","CHIEF METALLURGIST","",130000,25000,NA,"","","UNITED STATES","Arizona","BAGDAD","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","law","SENIOR EVENT PLANNER","",54500,3500,NA,"","","UNITED STATES","Virginia","RICHMOND","11 - 20 years",NA,"College degree","Woman","White"
"25-34","recruitment or hr","DIRECTOR OF CORPORATE COMMUNICATIONS","Director of comms department for large public company; overseeing internal/external/PR/content",125000,30000,NA,"","Bonus based on company performance","UNITED STATES","Florida","BOCA RATON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","computing or tech","PRINCIPAL DEV LEAD","Principal Software Engineer / Engineering Manager",218400,2500,NA,"","","UNITED STATES","Oregon","PORTLAND","11 - 20 years","11 - 20 years","College degree","Man","White"
"35-44","computing or tech","SENIOR DEVOPS ENGINEER","",190000,NA,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","High School","Man","White"
"45-54","computing or tech","SR DEVELOPMENT MANAGER","",175000,175000,NA,"","","UNITED STATES","Colorado","DENVER","21 - 30 years","11 - 20 years","College degree","Man","White"
"55-64","utilities and telecommunications","ACCOUNTS PAYABLE SUPERVISOR","",90000,0,NA,"","","UNITED STATES","Florida","TAMPA","31 - 40 years","21 - 30 years","College degree","Woman","White"
"25-34","computing or tech","SENIOR ENGINEER","",147000,44700,NA,"","","UNITED STATES","Washington","SEATLE, WA","11 - 20 years","11 - 20 years","College degree","Man","White"
"25-34","computing or tech","SENIOR PRODUCT MANAGER","",175000,50000,NA,"","","UNITED STATES","New York","NEW YORK CITY","11 - 20 years","5-7 years","College degree","Woman","White"
"35-44","pharmaceuticals","SENIOR ADMINISTRATIVE ASSISTANT","",38800,4000,NA,"","","UNITED KINGDOM/UK",NA,"CANBRIDGE, UK","8 - 10 years","2 - 4 years","College degree","Woman","White"
"25-34","health care","SENIOR ASSOCIATE, FINANCE","",120000,17500,NA,"","","UNITED STATES","New York","NEW YORK","2 - 4 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"45-54","library","LIBRARIAN","",49500,0,NA,"","","UNITED STATES","New Mexico","ALBUQUERQUE","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"25-34","marketing, advertising and pr","DIRECTOR OF COMMUNICATIONS","",64000,NA,NA,"","","UNITED STATES","Nebraska","OMAHA","8 - 10 years",NA,"College degree","Woman","White"
"35-44","education (higher education)","ASSOCIATE RESEARCH PROFESSOR","Non-tenure track faculty in a STEM field",110000,10000,NA,"","","UNITED STATES","North Carolina","RALEIGH","11 - 20 years",NA,"PhD","Woman","White"
"35-44","engineering or manufacturing","MANAGER","",85000,NA,NA,"","","BELGIUM",NA,"BRUSSELS","11 - 20 years","11 - 20 years","Master's degree","Man","White"
"25-34","marketing, advertising and pr","ACCOUNT SUPERVISOR","",85000,0,NA,"","","UNITED STATES","Illinois","CHICAGO","5-7 years","5-7 years","College degree","Woman","White"
"25-34","accounting, banking and finance","SENIOR EDITOR","",119000,10000,NA,"","","UNITED STATES","California","SAN FRANCISCO","11 - 20 years",NA,"Master's degree","Not reported","Another option not listed here or prefer not to answer"
"35-44","education (primary/secondary)","HIGH SCHOOL TEACHER","",88895,0,NA,"","","CANADA",NA,"REGINA","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","government and public administration","ENVIRONMENTAL HEALTH SPECIALIST IV","Supervisor of health inspectors",79719,0,NA,"","","UNITED STATES","Nevada","CARSON CITY","8 - 10 years","5-7 years","College degree","Woman","White"
"35-44","hospitality and events","ACCOUNT EXECUTIVE","",110000,20000,NA,"","","UNITED STATES","Washington","SEATTLE","21 - 30 years","11 - 20 years","Some college","Man",""
"55-64","agriculture or forestry","REGIONAL SALES LEADER","",140000,30000,NA,"","","CANADA",NA,"REGINA","41 years or more","21 - 30 years","High School","Man","White"
"45-54","education (higher education)","PROFESSOR","",61000,NA,NA,"","","UNITED STATES","Kentucky","MOREHEAD","21 - 30 years","21 - 30 years","PhD","","White"
"25-34","computing or tech","SENIOR SOFTWARE ENGINEER","",165000,NA,NA,"","","UNITED STATES","California","SAN FRANCISCO","11 - 20 years",NA,"Some college","Woman","Hispanic, Latino, or Spanish origin, White"
"35-44","education (higher education)","EDUCATION ADMINISTRATION COORDINATOR","",53248,0,NA,"","","UNITED STATES","Minnesota","ROCHESTER","11 - 20 years",NA,"Some college","Woman","White"
"45-54","recruitment or hr","HUMAN RESOURCE MANAGER","",83000,8000,NA,"","","UNITED STATES","Illinois","CHICAGO","11 - 20 years",NA,"Master's degree","Woman","Black or African American"
"25-34","health care","NURSE CARE MANAGER (BSN)","Mental health pays lower generally.",65000,NA,NA,"","","UNITED STATES","Oklahoma","OKLAHOMA CITY","5-7 years","5-7 years","College degree","Woman","White"
"35-44","transport or logistics","LOGISTICS COORDINATOR","",38771,2400,NA,"","","UNITED STATES","Missouri","HANNIBAL","8 - 10 years","2 - 4 years","College degree","Woman","White"
"45-54","nonprofits","RABBI","",150000,NA,NA,"","","UNITED STATES","Illinois","CHICAGO","21 - 30 years",NA,"Professional degree (MD, JD, etc.)","Woman","White"
"35-44","media and digital","EDITOR","",117000,NA,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","art and design","GRAPHIC DESIGNER","",53800,2000,NA,"","","UNITED STATES","Maryland","COLUMBIA","5-7 years","2 - 4 years","College degree","Woman","White"
"18-24","business or consulting","FORECASTING ANALYST","Work for a large retail company to help them forecast demand.",55000,5500,NA,"","","CANADA",NA,"TORONTO","2 - 4 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"35-44","computing or tech","FIRMWARE ENGINEER","",187000,2e+05,NA,"","","UNITED STATES","Washington","PUYALLUP, WA","11 - 20 years",NA,"College degree","Man","White"
"35-44","nonprofits","DIRECTOR","Research",76000,NA,NA,"","","UNITED STATES","New York","NEW YORK","8 - 10 years",NA,"Master's degree","Woman","White"
"55-64","government and public administration","SENIOR MANAGER","",87000,0,NA,"","","UNITED STATES","Montana","HELENA","21 - 30 years","21 - 30 years","College degree","Woman","White"
"25-34","social work","CAREER DEVELOPMENT SPECIALIST","",38000,NA,NA,"","","UNITED STATES","New Mexico","ALBUQUERQUE","11 - 20 years","2 - 4 years","College degree","Woman","White"
"35-44","computing or tech","PRINCIPLE SOFTWARE ENGINEER","",150000,50000,NA,"","","UNITED STATES","Oregon","PORTLAND","11 - 20 years","11 - 20 years","High School","Man","White"
"25-34","education (higher education)","MEDIA RELATIONS DIRECTOR","",61000,0,NA,"","","UNITED STATES","Minnesota","MANKATO","8 - 10 years","5-7 years","College degree","Man","White"
"25-34","computing or tech","RISK OPERATIONS ANALYST","",73000,7000,NA,"","","UNITED STATES","Washington","SEATTLE","8 - 10 years","5-7 years","Master's degree","Woman","White"
"25-34","education (primary/secondary)","PROGRAM ASSISTANT","",31657,NA,NA,"","","UNITED STATES","Texas","60K SMALL CITY","5-7 years","5-7 years","Some college","Woman","White"
"45-54","computing or tech","SOFTWARE SPECIALIST","",30000,NA,NA,"","","FINLAND",NA,NA,"11 - 20 years","5-7 years","Master's degree","Woman","White"
"18-24","entertainment","AUDIO ENGINEER","",27000,0,NA,"","","UNITED STATES","Washington","SEATTLE","8 - 10 years",NA,"College degree","Woman","Asian or Asian American"
"25-34","computing or tech","GRADUATE SOFTWARE DEVELOPER","",26000,0,NA,"","","UNITED KINGDOM/UK",NA,"GLASGOW","2 - 4 years","1 year or less","College degree","Woman","White"
"25-34","social work","CLINICAL CASE MANAGER","LMSW",54000,0,NA,"","","UNITED STATES","Texas","AUSTIN","5-7 years","2 - 4 years","Master's degree","Woman","White"
"25-34","government and public administration","SENIOR COMMUNICATIONS ADVISOR","",69422,0,NA,"","","CANADA",NA,"VICTORIA","5-7 years","5-7 years","College degree","Woman","White"
"35-44","government and public administration","PUBLIC SAFETY AUDITOR","",112016,NA,NA,"","","UNITED STATES","Washington","SEATTLE","11 - 20 years","5-7 years","Master's degree","Man","White"
"25-34","art and design","CHARACTER DESIGNER","",65000,NA,NA,"","","CANADA",NA,"TORONTO","5-7 years","5-7 years","College degree","Woman","Asian or Asian American"
"25-34","law","SR IN HOUSE COUNSEL","title insurance claims work - in-house counsel - Toronto Canada",129000,20000,NA,"","","CANADA",NA,"TORONTO","5-7 years","5-7 years","Professional degree (MD, JD, etc.)","Woman","White"
"35-44","engineering or manufacturing","STRATEGIC SOURCING MANAGER","",120000,20000,NA,"","Bonus depends on company performance and targets","UNITED STATES","California","TORRANCE","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","computing or tech","SECURITY ENGINEER 2","work in Security operations center responding to general security alerts and escalations",72800,9000,NA,"","","UNITED STATES","Georgia","ALPHARETTA","8 - 10 years",NA,"Some college","Man","White"
"25-34","education (higher education)","ASSISTANT LIBRARIAN","",53500,NA,NA,"","","UNITED STATES","New York","ITHACA","8 - 10 years","5-7 years","Master's degree","Woman","White"
"35-44","sales","SENIOR APPLICATIONS / INSIDE SALES","Lighting/construction sales support",60000,5000,NA,"","","UNITED STATES","California","SAN DIEGO","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","government and public administration","HEALTH PROGRAM SPECIALIST I","Analyst for healthcare dept in corrections",84960,0,NA,"","","UNITED STATES","California","TEHACHAPI","8 - 10 years",NA,"College degree","Woman","White"
"35-44","engineering or manufacturing","STAFF MECHANICAL ENGINEER","",120000,0,NA,"","","UNITED STATES","Massachusetts","BOSTON","11 - 20 years","11 - 20 years","College degree","Man","Asian or Asian American"
"55-64","computing or tech","DIRECTOR OF REVIEW SOLUTIONS","",120000,3500,NA,"","My bonus varies, depending on personal performance and overall company earnings.  It is a complicated formula that only the dwarves at Gringotts understand.","UNITED STATES","New York","MERRICK - MY HOME, BUT WE DO HAVE AN OFFICE IN NYC  MAIN OFFICE IS IN SEATTLE, WA","31 - 40 years","21 - 30 years","High School","Woman","White"
"25-34","computing or tech","SENIOR SCIENTIST","",108500,NA,NA,"","","UNITED STATES","California","SAN DIEGO","5-7 years","5-7 years","PhD","Man","Hispanic, Latino, or Spanish origin, White"
"25-34","computing or tech","PROJECT MANAGER","",128000,12800,NA,"","","UNITED STATES","Michigan","MADISON HEIGHTS","11 - 20 years",NA,"Master's degree","Woman","White"
"35-44","government and public administration","ATTORNEY","",130000,2500,NA,"","","UNITED STATES","Illinois","PEORIA","11 - 20 years","11 - 20 years","PhD","Woman","White"
"25-34","media and digital","EDITOR","Independent arts publication",75712,NA,NA,"","Part-time (24 hrs/week)—actual yearly income is $45427. Incl 4 wks paid leave.","AUSTRALIA",NA,"MELBOURNE","5-7 years","2 - 4 years","Master's degree","Woman","White"
"25-34","nonprofits","PROGRAMS COORDINATOR","",39520,1200,NA,"","","UNITED STATES","Idaho","BOISE","2 - 4 years","2 - 4 years","College degree","Man","White"
"25-34","computing or tech","SALES ENGINEER","",120000,10000,NA,"","","UNITED STATES","Florida","ORLANDO","8 - 10 years",NA,"Master's degree","Man","White"
"25-34","education (higher education)","SYSTEMS LIBRARIAN","",56000,NA,NA,"","","UNITED STATES","Wisconsin","MILWAUKEE","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","health care","RECOVERY WORKER","Mental health ",18642,100,NA,"","","UNITED KINGDOM/UK",NA,"BIRMINGHAM, ENGLAND","5-7 years","2 - 4 years","Master's degree","Woman","White"
"35-44","accounting, banking and finance","ACCOUNTS PAYABLE","",41000,0,NA,"","","UNITED STATES","Texas","DALLAS","8 - 10 years",NA,"College degree","Woman","Hispanic, Latino, or Spanish origin"
"45-54","property or construction","VIRTUAL BOOKKEEPER/ADMIN","I work remotely as a bookkeeper and office admin for a general contractor",41600,NA,NA,"","","UNITED STATES","Texas","COMPANY IS IN SAN ANTONIO, I LIVE 3 HOURS AWAY IN A RURAL COMMUNITY","21 - 30 years","21 - 30 years","Some college","Woman","White"
"25-34","health care","RESEARCH ASSOCIATE","",72000,7000,NA,"","","UNITED STATES","Maryland","ROCKVILLE","2 - 4 years","2 - 4 years","College degree","Woman","Hispanic, Latino, or Spanish origin"
"55-64","computing or tech","SOFTWARE ENGINEER","",112000,16000,NA,"","","UNITED STATES","Oregon","PORTLAND","31 - 40 years","31 - 40 years","Master's degree","Woman","White"
"35-44","accounting, banking and finance","CREDIT ANALYST","",82000,5000,NA,"","","CANADA",NA,"TORONTO","8 - 10 years","2 - 4 years","College degree","Man","White"
"35-44","nonprofits","PROGRAMS MANAGER","
",75000,NA,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","hospitality and events","HOTEL SALES MANAGER","",66950,0,NA,"","","UNITED STATES","Indiana","INDIANAPOLIS","8 - 10 years","5-7 years","College degree","Woman","White"
